Age,CO2,CO2_min,CO2_max,O2,O2_min,O2_max
570,4626.823096,1303.323378,24997.71598,15.1541702,9.64977165,20.32790031
560,4849.933718,1327.590084,27550.90091,14.57026276,6.321504751,21.63830469
550,5161.223333,1378.058696,28672.08365,17.50309792,10.58068466,22.73279917
540,5797.240404,1521.178196,29771.59154,19.17944667,12.51019121,24.29317459
530,5679.993637,1448.853528,29925.5923,21.3745855,12.67959275,26.68596206
520,4915.625703,1315.772194,27496.55777,20.86069068,13.09079679,26.56638713
510,4003.52399,1137.711652,22733.76319,21.2816655,13.43459939,26.84852434
500,3291.048562,1025.882832,17377.96687,19.81643208,11.19747527,25.27873015
490,2962.920374,946.0535651,14531.87021,19.79563957,12.39585586,25.5684532
480,2772.811006,924.3488786,13361.19494,17.17968116,10.38192416,22.60072209
470,2522.926564,848.81526,11004.40435,15.22232802,7.460079705,21.68253997
460,2161.097671,747.7811162,9929.694079,19.6184613,13.25762679,25.67500525
450,2200.36697,752.7622319,10438.40819,18.63638718,13.21286371,23.95633793
440,2273.896318,798.5244226,12161.44225,22.63788004,16.50956657,29.25115485
430,1718.829203,647.9200116,8009.316384,24.73797363,18.88132971,32.38699184
420,2225.008833,751.9429961,10087.31042,25.97510794,19.55912459,32.94627261
410,2258.031429,745.7622144,10812.28915,27.33398635,20.85953271,35.03998759
400,2365.237978,829.7398786,10412.13291,17.74731112,9.667122263,26.44092852
390,1263.177332,473.3397164,5267.182276,21.65900864,14.55097961,29.66809081
380,1454.076568,588.7349285,5736.929032,17.91429578,11.69418293,24.86317728
370,963.1275779,411.7232137,3500.460415,16.30054094,9.929294833,21.6580521
360,699.8773466,276.3553085,3395.485817,18.28226122,10.91818184,25.43722172
350,377.219013,159.7709788,3141.419357,23.81523541,15.03148005,32.42393204
340,386.1681504,162.5116644,2223.073774,23.53945343,13.81813442,33.2466891
330,306.741522,170.5748087,957.2112152,21.85954626,11.99287809,32.55294964
320,327.4601227,194.1836146,1053.6156,22.72062024,13.6620528,32.81429343
310,330.7662746,186.5420535,1177.808155,25.98912857,16.31058349,36.8977692
300,334.1465805,186.9111377,1172.164169,29.35819771,19.47417043,42.74812678
290,383.8195865,199.2932173,1522.948718,31.77171088,21.14335232,44.69680679
280,378.7755352,191.6748932,1440.973794,32.18050693,21.13436318,44.38181343
270,337.2965324,181.5959433,1107.16013,32.58320499,22.82884803,44.32123558
260,375.8026847,212.673351,1319.351739,31.09739473,22.54134227,42.09211678
250,1249.295171,424.072007,20205.13408,22.48641961,12.827732,33.96121397
240,1105.41858,360.9670048,15375.41508,20.0214156,14.13735933,28.89590291
230,1023.643109,362.0624801,15747.91237,22.08510337,17.6017014,29.02792255
220,776.2170998,274.8521005,9769.26217,26.25535923,22.08499395,32.53509143
210,653.6839402,257.7622281,7009.821497,23.66390872,18.89214992,30.52905741
200,403.3938072,185.0278897,2301.222527,19.11949862,12.91518163,25.7898079
190,436.1104199,199.8839606,3445.849489,12.70939364,6.207189521,18.71496344
180,347.0683607,168.7977941,2109.112047,13.7651452,7.189742947,21.46020191
170,291.1698213,156.7140764,1453.159759,14.92637469,8.915066081,24.33880654
160,314.341403,164.6451487,1570.794356,16.07250693,11.01459664,23.49796182
150,335.0073232,165.6958245,1841.196968,16.26134473,10.48118401,23.56628769
140,396.3346531,188.215649,2367.825325,14.16500666,7.416021786,19.78672891
130,402.4465867,191.9473556,2599.387141,19.35809588,14.27854615,25.41513833
120,361.6465717,175.0240617,1924.649588,21.962858,16.39793836,29.64198035
110,345.1888986,179.0750116,1601.242354,23.28084268,17.45621621,30.07599188
100,294.7994587,168.3865912,1011.840243,24.10269817,19.13444996,29.90021667
90,221.269288,153.4046946,521.8465685,24.12283917,20.00774938,29.22502134
80,216.279406,152.8334061,501.2332936,23.59656466,19.80331602,27.93201462
70,227.5547359,155.2718459,565.2902179,23.64487789,20.06427571,27.67500746
60,259.4019525,163.3363919,655.3570691,22.57679364,17.50907659,28.13163695
50,286.6815808,162.6963264,855.3607064,22.19083563,17.69074614,27.10689464
40,242.7546644,164.5516239,400.235133,24.6658765,20.86497614,28.64273914
30,227.9416106,159.4560862,379.5423021,24.94752877,22.1126183,28.33355216
20,248.8630526,168.5940146,460.5233587,24.10248751,20.77254501,27.54497348
10,263.3458792,182.1323734,487.9238151,22.51905757,19.19611089,25.63515136
0,253.4948822,203.6502282,296.8404203,20.93784456,19.12959133,22.87043003
