Age,Eustatic Sea Level
0,47.3806
5,45.2129
10,45.9916
15,43.3548
20,49.416
25,52.5737
30,49.1818
35,61.4915
40,54.697
45,63.7576
50,71.2126
55,62.8606
60,67.8326
65,59.6173
70,53.1212
75,62.5123
80,67.8639
85,57.8663
90,52.0634
95,71.1992
100,64.5061
105,49.7767
110,46.9935
115,49.3945
120,39.6967
125,49.8673
130,42.6038
135,38.0515
140,39.5728
145,42.7974
150,49.8673
155,49.1109
160,38.6554
165,34.3392
170,35.3882
173.6,27.48
176.4,30.8991
180.2,27.7539
184.1,27.4219
188,23.6522
191.9,11.1326
195.7,8.6133
199.6,9.5313
206,20.1366
212.5,34.1796
218.9,35.0976
225.3,30.0781
231.7,21.9334
238.2,18.1637
244.6,13.457
251,1.5625
255,4.5699
260,8.9541
265,22.636
270,31.9539
275,33.3018
280,32.5625
285,31.8233
290,31.6532
295,36.0374
300,44.697
305,40.1515
310,32.0076
315,16.0985
320,16.8561
325,28.5985
330,31.25
335,36.9318
340,45.2652
345,51.5152
350,55.4924
355,55.1136
360,52.8382
365,58.6927
370,65.4943
375,69.6442
380,76.8246
385,78.323
390,76.0336
395,69.767
400,62.7427
405,61.4002
410,64.7927
415,71.5942
420,79.3678
425,87.84
430,83.27
435,83.4242
440,71.4808
445,69.892
450,93.0192
455,98.3435
460,96.2814
465,81.7193
470,81.7405
475,84.0345
480,82.5406
485,77.2588
490,70.2712
495,61.7661
500,57.4277
